1100 qrts..
madhya krishnapur
madhya madarihat
madhya monirtat
madhya pillak
madhya pradesh
madhya shibpur
madhyam madhusudan
madhyamgram bazar
madi jamuniya
madia par
madikeri west
madilage bk
madipakkam south
madipur village
madiraja guduru
madni karanji
madpura barwala
madpura sani
madra b
madra mukundpur
madras university
madukkarai cusba
madukkur north
madurai bazaar
madurai bibikulam
madurai courts
madurai north
madurai palace
madurai south
madurai west
maf babai
magadh university
magadi road
magar mudian
magarda bada
magarsan kala
maghi kothilwa
magnesite mines
magob bhatha
magod colony
magod dungri
magrahat shyamnagar
magrahat shyampur
magrahat taluk
magura bazar
maguri jagannathchak
maguri uttarsai
maha khera
mahabir nagar
mahabub farm
mahabub nagar
mahabubnagar h..o
mahadana street
mahadeo asthan
mahadeo atra
mahadeo chegri
mahadeo ganj
mahadeo simaria
mahadeshwara malai
mahadev buzurg
mahadev math
mahadevache kervade
mahadevpura kampa
mahagaon bk
mahagaon kasba
mahagu pur
mahakal dara
mahalakshmipuram layout
mahalana utarada
mahalas jawala
mahalaxmi hiware
mahalgaon kalu
mahalia para
mahalinga puram
mahalingpur town
mahalpur choora
mahalunge ingale
mahalunge padwal
mahamaya mines
mahamayee tirumani
mahamdpur jadon
mahananda bridge
mahananda para
mahananda project
mahaneke jandh
mahanth maniari
mahar kalan
mahar khurd
maharaj ganj
maharaj nagar
maharaj pur
maharaja college
maharajganj mdg
maharajganj sadar
maharajpur kalan
maharajpura a..f..
maharani pachchhim
maharishi nagar
maharu murtiha
maharuwa gola
mahasi tahsil
mahatha bazar
mahatha tola
mahathe bk
mahathi dharamchand
mahaveer nagar
mahavir asthan
mahavir ganj
mahawan khore
mahawatpur billoch
mahdaiya state
mahe ut
mahegaon dushmukh
maheran kalan
maherna kalan
mahesana bazar
mahesana jsm
mahesara kalan
mahesh .1
mahesh 2
mahesh batna
mahesh khera
mahesh khola
mahesh munda
mahesh nagar
mahesh pur
maheshara khurd
maheshpur raj
maheshtala gobindapur
mahespur kalan
mahespur murakata
maheswari jat
maheswari nagla
mahewa ganj
mahewa gopal
mahi itadi
mahia senduria
mahianwala kalan
mahil gailan
mahim bazar
mahim east
mahim nischinda
mahindwar navtoli
mahipa tol
mahish bathan
mahla kalan
mahmadpur bhaon
mahmadpur parasoli
mahmadpur rohi
mahmadpur sakra
mahmoodpur palwara
mahmoodpur saraiya
mahmoodpur semri
mahmora balijan
mahna gani
mahni kherea
maho r..s..
maholi kalan
maholi road
maholi shamserganj
maholi uprahar
maholiya shivpar
mahou tera
mahra .ii
mahraiya chakasar
mahraj ganj
mahrajganj grant
mahu gulawali
mahu muhana
mahu nagar
mahua bazar
mahua ekdara
mahua gaon
mahua khaira
mahua kheda
mahua mahoi
mahual r..s..
mahuana bodla
mahuari kala
mahuawa buzurg
mahuawa imilia
mahuawa karkhana
mahud machandur
mahude bk
mahudi maska
mahui nankar
mahuja newada
mahul road
mahuli chor
mahuli dhande
mahuli jahagir
mahulia bojhia
mahuna gujar
mahura kandi
mahuri kala
mahurul anantapur
mahuva bazar
mahuva gandhibaug
mahuwa buzurg
mahuwa bzg..
mahuwa nogaon
mahuwal mahal
mahwa road
mai farida
mai ghatkaur
mai kalan
maibam konjil
maidan garhi
maigal ganj
maigri estate
maiki marhi
mail bazar
maila saraiya
mailani gram
mailoo bazar
main bazar.bahadurgarh
maina bhagar
maina gram
maina newaria
maina poothi
maina sukki
mainapur bazar
mainasi saraiyan
mainpuri city
maira bani
maira barich
maira nawatand
maitha r..s..
maithna jagatpur
maithon dam
maitra bazar
majalgaon s..o..
majara jattan
majari kalan
majbam chariali
majgaon tamhane
majha narain
majhanwa takuli
majhar gohiya
majhar gorhiya
majharia kisun
majhariya sheikh
majhauli raj
majhaulia estate
majhaulia rs
majhauwa babu
majhauwa baikunth
majhauwa bujurg
majhauwa khajuri
majhauwa khurd
majhera shakroo
majhgawan sevak
majhgawan sharif
majhguya hansraj
majhi dand
majhigawan gadeora
majhog sultani
majhola khas
majith mandi
majithia enclave
majiyari malli
majiyari talli
majle chincholi
majra dabas
majra gurdas
majra rodan
majra sheoraj
majre sangapur
makdoompur dhoksaha
makeng ngarolu
makha chelan
makhan bazar
makhdoom baramadpur
makhdoom nagar
makhdumpur digha
makhdumpur harhi
makhi kalan
makhpur jareli
makkinaicken patti
maklang bazar
makorar sahib
makrana rs
makrana s..b..
makrand nagar
makrani sanosara
makrauli kalan
makrauna kalan
maksud pur
makta kyasaram
makta laxmapur
makum junction
makum pathar
mal bamori
mal bhandaridih
mal hipperga
mal hivara
mal itadi
mal majra
mala colony
malabar hill
malad east
malad west
malage bk
malak chincholi
malak harhar
malakapur karad
malakpet colony
malampuzha dam
malan sesonal
malancha mahinagar
malara bichhua
malarna doongar
malarna dungar
malat bazar
malauli gosain
malavalli extn
malawan chhajaipur
malawan khurd
malayalapuzha eram
malayalapuzha thazham
malcha marg
malda court
malegaon bazar
malegaon bk
malegaon camp
malegaon city
malegaon karyat
malegaon khd
malegaon makata
malegaon thadi
malegaon theka
malehra newada
maleta bongta
malethu buzurg
malharpeth karad
malhaua chorkaind
malhi dih
mali chinchore
mali wadgaon
malia hatina
malighat maniari
malik pur
malikipuram mandal
malikpur khadar
malikpur nonara
malin belha
malinia diara
maliya miyana
maliya kherkheda
malka ganj
malka khera
malkagiri manda
malkana kalan
malkana khurd
malkangiri colony
malkanipara nayahat
malkapur city
malkapur pangra
malkauli .
malked khurd
malkhed bk
malkhed road
malko tarar
mall road
malla b
mallan r..s..
mallappally east
mallappally north
mallappally west
mallapur ka
mallareddy kalan
mallepalli chintagurthi
malleswaram west
mallick kati
mallick pratap
malluwalia wala
malo mazara
maloni khurd
maloni panwar
malook pur
maloor college
malout village
maloya colony
malpahari koerisiding
malpur agrail
malreddy pally
malrna chaur
malrna doongar
malsian bajan
malunja bk
malunja khd
malviya kunj
malviya nagar
malvoy kannanur
malwala katorewala
malwan r..s..
malwan town
malyachi shiroli
mamandur kanchipuram
mamaria ahir
mambalam r..s..
mamera kalan
mamidikuduru mandal
mampad college
mamsi buzurg
mamsi khurd
mamu khera
man pur
man simble
mana camp
mana talwandi
manaha kacharigaon
manair project
manak tabra
manak dheke
manak dheri
manakkal ayyampet
manakpur adampur
manakpur sharif
manal vayal
manalmedu east
manalur hs
manamadurai rs
manamadurai town
manaparai r..s
manappally north
manappuram edb..o
manas mandir.wardha
manathal nallagoundampatti
manauri af
manauri samaisa
manawala kalan
manawala khurd
manawwarpur said
manbazar ii
manchallur pathanapuram
mancherial bazar
manchi haveli
mand manjwan
mand pandher
manda bhinda
manda sarai
mandai bujurg
mandamarri colleries
mandamarri r..s..
mandan kundla
mandapam camp
mandapeta bazar
mandar kalan
mandar vidyapith
mandardeeh mafi
mandasa mandal
mandavgan farata
mandawa bazar
mandawali fazalpur
mandawar singh
mandela bada
mandela chhota
mander kalan
mandha madni
mandha surera
mandhar deo
mandhata omkareshwar
mandhi harya
mandhiran wala
mandholi kalan
mandholi khurd
mandi anupshahr
mandi adampur
mandi ateli
mandi bazar
mandi dabwali
mandi gharsana
mandi kalan
mandi killianwali
mandi ladhuka
mandi naj
mandi sadra
mandi samiti
mandi sangwali
mandi sriganganagar
mandial kallan
mandigobindgarh it
mandir bazar
mandir hasod
mandir mahewa
mandiram jn
mandla charan
mandla city
mandlia meda
mandoli malli
mandoli nagar
mandoli saboli
mandrul haveli
mandsaur city
mandsaur fort
mandsaur jankupura
mandve bk..
mandve khd
mandvi bk
mandvi chowk
mandvi sr
mandwa bazar
mandya ashoknagar
mandya azadnagar
mandya district
mandya gandhinagar
mandya shankarnagar
mane wadi
manegaon tek
manek chowk
manekpore tankoli
manena ummedpur
manewada road
maney dara
mang kinhi
manga kodar
mangadu kothur
mangal garh
mangal nagar
mangala devi
mangalagiri bazar
mangalagiri busstand
mangalagiri ho
mangalam dam
mangalayatan university
mangalhat english
mangali arab
mangalore collectorate
mangalpur gudaria
mangalvedha town
mangalwar peth
mangalwara hingoli
mangalwara piparia
manganallur bazaar
manganj bazar
mangaon budruk
mangaon t..varedi
mangela deori
mangit pur
mangla devi
manglapur rajpur
manglour town
mango bandar
mango road
mangolpura roopchand
mangor hill
mangra kohal
mangrahiya bazar
mangral khurd
mangraon sangraon
mangrol bazar
mangrol bundar
mangrol jat
mangrul bhilasp
mangrul chawala
mangrul dasoda
mangrul dastgir
mangrul kambe
mangrul navghare
manguawal nari
manguria lalpur
mangwain mohalla
manha kadavu
manhara sukhashan
mani bhakurahar
mania chhapar
maniari tiniali
manicktala bazar
manihari nawabganj
manik chowk
manik dih
manikapur kaur
manikpur bastipur
manikpur bissu
manikpur colliery
manikpur pakri
maniktala bazar
manimuthar project
manipal east
manipur bagan
manipur patna
manipur pti
manipur university
manipura west
manir tala
manivilundan colony
maniyac r..s..
maniyar pur
manjacombai bazaar
manjady jn
manjal asani
manjalar dam
manjamedu karaipakkam
manjara sk
manjari bk
manjari farm
manje hingona
manjeri bazar
manjeri college
manjharia vikram
manjhera malla
manjhili matihani
manjhola billoch
manjira barrage
manjira gouripur
manjoor south
manjra bhikhna
manjri masla
manjui khera
manjuri road
manka manki
mankada pallippuram
mankapur bazar
mankapur kala
mankarai r..s..
manki banasale
manki bhagour
manki salaiya
mankundu govt..colony
mankur chanda
mannam nagar
mannam paravur
mannargudi bazaar
mannargudi south
mannargudi west
mannarkad college
mannarkad q
mannarpalayam valapady
manne rajaram
mannur masalawada
mannur sugur
mannur west
manohar chapra
manohar garh
manohar pur
manohar thana
manota jatan
manota kalan
manpur devra
manpur hari
manpur paschim
manpur rajpooti
manpur ratnauli
manpura jagir
manpura kharda
manpura machedi
mansa bazar
mansab seoraguri
mansar khedi
mansarover garden
mansingpur bijhrauli
mansoor deva
mansoor nagar
mansorganj khurd
mansurpur halaiya
mansurpur village
manthan gode
manthangowd gowrelli
manti basai
mantralaya raipur
manu bas
manu majra
manua patti
manuguru colls
manwa parsi
manwaria diwan
manwath town
maonda kalan
maonda khurd
maonda rs
maoura ramnagar
mapao keithelmanbi
mapusa i..e..
marachi kalan
marady east
marafari colony
maraimalai nagar
marajganj sadar
maral sarovar
maralur so
marangi chariali
marar bindwalia
marari kalan
marathahalli colony
marauli kalan
maravapalli agraharam
marayamangalam south
mardon sahib
maregaon road
margarets hope
marhal bk
marhi sukatia
marhinath road
mari buchian
mari kamboke
mari megha
mari mustafa
mari panwan
mari tanda
mariahun bazar
mariechi wadi
marine fisheries
marine jetty
marine lines
maripur anandapur
markam dinni
markanda deo
markandeswar sahi
markapur bazar
markapur east
markapur ho
market yard
marketyard apmc.shimoga
marku bakhal
marma chah
maroda bhilai
marodi jatan
marol bazar
marol naka
maroli bazar
maroli sanjan
marpa factory
marseni khurd
marta nagrota
marthandam bridge
marthandam north
marthara bhagwandas
marthoma nagar
marthua saraiya
martin ganj
marudur therkusethi
marui ganeshpur
maruia bujurga
marul haveli
maruthi kunj
maruthi sevanagar
maruthorvattom edb..o
maruti nagar
marwa kalan
marwa khurd
marwar jn..
marwar in..
marwar jn
marwar mundwa
marwari bazar
marwatia baboo
marwatia bazar
marwatia kasaila
mary land
maryad pur..
masale chaudhari
masang moti
masapet bazar
masar road
masaura khurd
masina khas
masjid domni
masjid moth
maskanwa rs
masla khurd
masni jagdishpur
mason chauthan
masood pur
masor khambh
massa khandeshwari
maste ke
master mogna
masti chak
masulkar colony
mata basaiya
mata kund
matampalle agraharam
matana kalan
mataria vadi
mataria vejam
matariya vyas
matera kalan
matera rs
mateya khas
math bishnupur
math budruk
math lohiyar
math pimpari
matha forest
mathada kalan
mathada khurd
mathamangalam bazar
mathana japti
mathana bichala
matheri sekhan
mathia bhopat
mathia brit
mathia buzurg
mathia devi
mathia kathia
mathia naraipur
mathia sahu
mathia sriram
mathna mallik
mathrusri nagar
mathur agraharam
mathur pg
mathura bazar
mathura chawk
mathura chhapar
mathura city
mathura pur
mathura rasoolpur
mathura refinery
mathura sahibganj
mathurapur rs
mathurapur sultan
matia bazar
matiara jagdish
matili rathan
matkepalli namavaram
matla palem
matlabpur sadarpur
mattancherry jetty
mattancherry town
mattanur college
mattar sham
mattul north
mattupatty isp
matuwa saraiyan
mau aima
mau atwara
mau bhavnath
mau chandpur
mau chirayal
mau dhaneshpur
mau mianwal
mau parbhani
mau rashidabad
mau sahnia
mau town
mau yaduwanshpur
mau.. r..s..
maudah buzurg
mauhari katra
mauj pur
maujampur suraj
mauje ujani
maujepur havelia
mauju khera
maula bankipur
mauli baidwan
mauli jagran
mauman ashram
maun behat
mauna garhwa
maunath bhanjan
maur bojh
maur kalan
maur khurd
maur mandi
maurauwa bazar
mauri kedarpur
maurya enclave
maushi khamb
mauwa khera
mauzampur jaitra
mauzzampur narayan
mavelikara court
mavelikara cutcherry
mavi kalan
mavli jn..
mawa brahmna
mawa kaholan
mawa sindhian
mawai ahir
mawai bilwari
mawai dhamiyan
mawai kalan
mawai kazian
mawai khurd
mawai padiyana
mawaiya hindwani
mawana factory
mawana khurd
mawana kolti
mawana tehsil
mawani dawani
mawi kalan
maya pur
maya puri
mayang imphal
mayang kamarpur
mayang langjing
mayapur mangrola
maygaon devi
mayiladuthurai bazaar
mayiladuthurai cutchery
mayiladuthurai north
mayiladuthurai r..s
mayiladuthurai south
mayiladuthurai west
mayithara market
mayur kola
mazahir uloom
mazara dingrian
mazgaon dock
mazgaon road
mazhuvannoor south
mbn rs
mc.. cluskiganj
md.. gohana
meari bazar
mechi aching
meda khera
meda uparla
medak town
medi dhani
medical campus
medical college
mednipur brahiya
medpura sultan
meena baroda
meena koleta
meena wala
meenkara dam
meer nagar
meera bigha
meera mushehri
meerapur kewal
meerapur meerganj
meerapur rafiabad
meerpur bahanpur
meerpur cantt
meerpur hamirpur
meerpur hans
meerpur koniya
meerpur sheikhpur
meerut cantt
meerut city
meerut kutchery
meerut road
meerut tehsil
meerut university
megha kheri
megha siara
meghalaya secretariat
meghdoot bhawan
meghowal ganjyan
meghpar titodi
meghpar zala
meghra kalan
meghwal mathia
meghwali kala
megra mehndipur
meh mauni
meh nagar
meha bk
mehal kalan
mehand wani
mehar majra
mehara jatuwas
mehari rajviyan
mehatpur oladini
mehgaon deb
mehidpur road
mehma bhagwana
mehma sarja
mehma sawai
mehngarwal doaba
mehni sora
mehra bujurg
mehra chudhary
mehrasar chachera
mehrasar uppadhiyan
mehru kalan
mehta chowk
mehua hasanganj
mehuna mundera
meiporul nagar
meja road
mekha timbi
mekhal ghat
mekur hoskeri
mela autoor
mela tiruchendur
melaiyur tvg
melan khurd
melapalayam bazaar
melathiru vengadanathapuram
melavidayal ramnagar
meleng te
melengial gaon
meli bandha
melia kancheru
meliaputti mandal
melin idgunji
melina mannige
melli bazar
melli dara
melprumal chery
melukoppa begane
melur east
melur nilgiris
melur south
melur tuticorin
meman bhanera
memanpur chandannagar
memari bazar
mendha chhindwad
menha khadimpur
meond kalan
meond khurd
mepz tambaram
mera bk
mera khurd
meraka chamavaram
meraka mudidam
merakamudidam mandal
merapur garhiya
mercara hill
merda khalsa
merdakatia chhak
merhi dudhi
meri colony
meria bazar
merku alwarkurichi
merla sangaur
merma talab
merpanaikadu west
merta city
merta road
meston ganj
met gutad
meta khambhaliya
methi melkunda
metpalli bazar
mettu street
mettupalayam bazaar
mettupatti karipatti
mettupatti tadanur
metturdam rs
metturdam south
mevada kalan
mewa nawada
mewar kalan
mewla kalan
mg college
mg road
mgc market
mgm sanatorium
mhada colony
mhalunge khalsa
mhasla bk
mhc manimajra
mhow cantt
mhow gaon
mian ganj
mian pur
mian sarai
miani bakerpur
miani bhagopurian
mianwal arrayan
mic khola
micheal palayam
michgaon sadhu
mico layout
midc chincholi
midc jalna
midc kalmeshwar
midc kurkumbh
midc latur
midc mahad
midc nagpur
midc satara
midc shiroli
midc shivar
midc solapur
middle camp
middle khomi
middleton row
middu khera
midhola bujurg
midnapore collectorate
midnapore court
midnapore dsb
midnapore sitala
mig colony
mighi nagma
milak khanam
milak majhera
milak mukeempur
milak puranpur
milakpur banger
milakpur turk
milap nagar
miligaon tiniali
military colony
military hospital
military lines
mill road
millgate nanded
millik palagarh
millitary hospital
minapur rai
minchanal lt
minche bk
minche kh
mineral spring
ming gadhera
mini sectt
mini sectt..
mini sectt..narnaul
mini vidhanasoudha
mini.. sectt.hisar
minisectt ropar
minnakkal agraharam
minnal sithamur
minnie bay
minou khunjao
mint building
minto road
mir pur
mira khedi
mira road
mirai malli
miran kot
miran sahib
miranpur katra
mirazapur sadar
mirja pur
mirjahadipura chowk.s..o
mirjapur bankipur
mirjapur kothi
mirjapur poll
mirjapur zuara
mirpur daulatpur
mirpur jattan
mirpur kalan
mirpur khas
mirpur lakha
mirpur saraiya
miruan marha
mirza nagar
mirzabad mania
mirzapur aihari
mirzapur ajgaon
mirzapur banduar
mirzapur bazar
mirzapur belda
mirzapur chowk
mirzapur city
mirzapur khader
mirzapur kutchery
mirzapur niloni
mirzapur sadar
mirzapur sumbhari
mirzapura sohra
mirzewali mer
mishir khera
mishra batrahan
mishrikh tirth
misraulia bhaiya
mission compound
mission hospital
mistni bahbalpur
mitha dharva
mitham bangali
mithara khurd
mithaura bazar
mithi beri
mithi gariyal
mithi rohar
mithi vavdi
mithra khurd
mithwal bazaar
mitra senpur
mittan chak
mittapalli jagir
mitti malkapur
mixesed form
miyagam karjan
mizoram university
mjp nagar
mmtc.stc colony
mn sulra
mobha road
modasa bazar
model belghoria
model colony
model house
model town
model town.sonipat
model village
modha bk
modhpur wabai
modi circle.davanagere
modi joshiyan
modi nagar
moela wahidpur
moga kty
mogappair west
mogili venkatagiri
mogra kallan
mogral puthur
mohabbatganj uparhar
mohabbatpur painsa
mohadi dalvi
mohadi laling
mohal pahari
mohali mokasa
mohali naleshwar
mohamadpur ahir
mohamed bunder
mohamed sahibpuram
mohammad ganj
mohammad khera
mohammad nagar
mohammad nagarpatna
mohammad pur
mohammada bad
mohammadabad gohan
mohammadabad gohana
mohammadabad gohna
mohammadabad sipah
mohammadabad yusufpur
mohammadnagar bajhera
mohammadpur belwaran
mohammadpur bhanja
mohammadpur hasanpur
mohammadpur kadim
mohammadpur kutcharia
mohammadpur machnai
mohammadpur mahewa
mohammadpur nazir
mohammadpur pathra
mohammadpur tajpur
mohammdabad gohana
mohammed garh
mohammed nagar
mohammed pura
mohammedpur kamil
mohammedpur koari
mohammedpur rajauri
mohan bhandari
mohan darwan
mohan garh
mohan nagar
mohan sankari
mohana bank
mohani mamoorganj
mohania chakla
mohania patpara
mohanpur karja
mohanpur bhavrakh
mohanpur choumukh
mohanpur dudhela
mohanpur hat
mohanpur market
mohanpur ratanpur
mohanur north
mohari khurd
mohd.. ganj
mohd.. gohana
mohd.. phalasia
mohd.. sadikpur
mohd..pur devmal
mohd..pur gheempur
mohd..pur mafi
mohdpur taluka
mohgaon batua
mohgaon bhadade
mohgaon bk
mohgaon devi
mohgaon dhapera
mohgaon haveli
mohgaon kachhi
mohgaon kala
mohgaon khadan
mohgaon r..s..
mohida th
mohiddin puram
mohinath nagar
mohishila colony
mohiuddin nagar
mohiuddinagar pakari
mohiuddinpur rajwa
mohkampur garia
mohkampur mandaruwa
mohmadpur fall
mohmadpur sotter
mohmda bazar
mohmmad ganj
mohoj bk
mohra lakhupura
mohraghat press
mohta chowk
moi hooda
moi kalan
moi majri
moi purani
moira colliery
moirang kampu
moirang purel
moitri ashram
mojowal majara
moka gonehal
mokeri nadapuram
mokhalish pur
mokhasa duggivalasa
mokhasa lingalavalasa
molana pur
molbiganj pothu
molphei tampak
moman badodiya
mona klan
moncombu thekkekara
monga sihol
mongkhang lambi
mongolian bazar
monipur banstala
montipa mohanpur
mooganayakana kote
mookuthi kunnu
moolamattom east
moolan kavu
moonda koti
moondla bisoti
moonniyur south
mop jawala
mor bhatiyan
moradabad city
moradabad kutchery
moradabad r..s..
moradabad thehsil
morak gaon
morar town
morbi gidc
morbi mdg
morbi ppw
mordi nichali
morena city
morena goun
morena mandi
morgaon bhakre
morgaon kakad
morgaon sadijan
mori bera
mori jhanji
mori road
moriya munjasar
morjand khari
morjand sikhan
morkhana athuna
mornoi bebejia
moroli dang
moroli kalan
morva hadaf
mosabani mines
mosale hosahalli
mose kh
mota bhela
mota habipura
mota amadra
mota ankevaliya
mota asrana
mota bandra
mota baval
mota bhadia
mota bharudiya
mota borsara
mota charodiya
mota chekhla
mota dhamaniya
mota fofalia
mota goan
mota gundala
mota hadmatia
mota haldu
mota itala
mota jalundra
mota jambuda
mota joravarpura
mota kajaliyara
mota kantharia
mota karala
mota khijadia
mota khokhra
mota kotda
mota mandva
mota mava
mota mesra
mota pondha
mota randha
mota samadhiyala
mota sonela
mota sorva
mota surka
mota tanda
mota tarpada
mota thavaria
mota tradia
mota umarda
mota vada
mota vagudad
mota varachha
mota zadra
mote majra
mothuadham mondalpara
moti amroli
moti beg
moti kishol
moti rasli
moti bagh
moti bebar
moti bhalu
moti boru
moti chinchano
moti daman
moti dau
moti dharai
moti fafdi
moti ghoda
moti hirvani
moti isrol
moti jagdhar
moti jheel
moti kantadi
moti katra
moti khajuri
moti khakhar
moti kharaj
moti khavdi
moti khervan
moti khilori
moti khokhari
moti kundal
moti mahal
moti marad
moti moldi
moti mori
moti moydi
moti nagar
moti panduri
moti parabadi
moti pavad
moti pipli
moti rajasthali
moti rantai
moti sarsan
moti sindhodi
moti sudadhro
moti tambadi
moti timbi
moti umaravan
moti vahiyal
moti valzar
moti vavdi
moti zari
motihari college
motihari chowk
motihari city
motihari court
motihari h..o..
motilal nagar
motilal street
motiya dumariya
motla kalan
motor stand
mouje digraj
mouje haladi
mouje sangaon
mouje tadvale
mouje tasgaon
moula nagar
mount stuart
mour suhag
mousudha bazar
moutga r..s..
movasa falia
mow bindidah
moxan uniyal
mozar izara
mozizabad nangal
mp mamarazpur
mpm fort
mpt ao
mraunda majhwara
mrec jaipur
mriga chatra
ms palli
msez colony
mss hatundi
mssk dongarkada
mts sirsa
mual vaiphei
mualcheng .s.
mualthuam .n.
mubarak mandi
mubarak pur
mubarakpur daiyadeeh
mubarakpur udaipur
mubarakpur umarni
muchikata baikunthapur
mud khokhar
mud point
muda bujurg
muda ghalib
muda sawaran
mudadi north
mudbal b
muddebihal fort
mudgad ramling
mudgul chittempalle
mudhol extension
mudia hulas
mudia kail
mudia khera
mudia pahad
mudia pamar
mudia sadh
mudidam ravivalasa
mudila khatai
mudila nankar
mudittanendal pudur
mudiya lalita
mudkhed station
mudoijan tiniali
mudra bhadra
mudra khurd
mudra mata
mudumalai sanctuary
mugal maidan
mugalpur naraini
mughal pura
mugva surkatte
mugwani kala
muhammadabad gohana
muhuri ratanpur
mujahna buzurg
mukan pabusar
mukarjee nagar
mukasa nanjikottai
mukasi hanumanpalli
mukhalishpur pachrukhi
mukkudal vadakku
mukkul..am sathanur
mukkulam east
mukoli gaon
muktai nagar
muktarpur belekusma
mukti khullen
muktiar chapori
muktsar kty
mukundapur patna
mukundapuram taluk
mukundpur bhat
mukundpur grahi
mukwal chinji
mul madhavpur
mula alasa
mulakalacheruvu r..s..
mulakulam south
mulani wadgaon
mulanpur kalan
mulbagal bazar
mulki bazar
mulki east
mulla khera
mullaganj bazar
mullewal khera
multai bazaar
multani dhanda
mulund colony
mulund east
mulund west
mumbai central
mumbai g..p..o..
mummidivaram mandal
mumrej nagar
mumtaj nagar
munak kalan
munda khera
munda pind
munda tand
mundakayam east
mundali colony
mundanwara kalan
mundapur kashiabad
mundathicode west
mundela kalan
mundera bazar
mundera shukul
mundet khadar
mundha khera
mundha kheri
mundhal khurd
mundhon kalan
mundhva av
mundi bakapur
mundi tal
mundia bhikampur
mundia jagir
mundia kalan
mundia rampura
mundia teli
mundian jattan
mundian kalan
mundri bk
mundur palakkad
mungal galoo
mungalia chhap
mungaliya hatt
munger college
munger fort
munger town
mungra badshahpur
municipal board
municipal corporation
municipal office
munirabad rs
munish bhali
munna camp
munnanad gds
munnar colony
munni bangari
munnu khera
munnur somaram
munthala kaba
mura dih
murad nagar
muradi hanumapuram
muradpur arji
muradpur janupura
muradpur naryal
murai tajpur
muraiya buzurg
murakati saltora
muratganj ed
murazar bazar
murdaha bazar
muri ganga
muringoor vadakkummuri
murkhada chak
murki kalan
murli basantpur
murli chandwa
murli chhapra
murli parsauni
murliganj bazar
murliganj tola
murlipur phool
murma kala
murma nayasarai
murshidabad jiaganj
murthar alipur
murti modhave
murtijapur sawangi
murtizapur city
murtizapur taro
murud akola
murugali bazaar
muruli dangal
murungai kalathur
musa khera
musa nagar
musahri bazar
musai gujaran
musaliar college
musatafabad saraiya
musayatpur kheriya
musepur jalal
museum road
mushahari farm
mushari idgah
muslim street
mussa bilaspur
mustafa bad
mustafabad pakhrora
mustik sour
musuvinalli kalahalli
muthalavadi kebbehundi
muthappan puzha
muthukulam south
muthukur mandalam
muthukuvandla palli
muti handoo
muttom ek
muttom thumpamon
muttungal west
muttupalli agraharam
mutum phibou
muvattupuzha bazar
muvattupuzha market
muwani gds
muz.. collectorate
muza patrahia
muzaffarnagar saini
muzaffarpur bagarpur
muzaffarpur court
muzaffarpur kanwara
muzahi bazar
muzampur kamala
mylapra town
mynagappally north
mysore fort
mysore mala
mysore south
mysore university
n begur
n kottalapalle
n naredrapatnam
n purwaritola
n.. adhapara
n.. bhagipur
n.. chhotraipur
n.. jampali
n.. khenjang
n.. kothur
n.. longidong
n.. naraiyur
n.. silfari
n.. vanlaiphai
n..c..l.. pune
n..d..a.. khadakwasla
n..d..road munger
n..g.. hulkur
n..g..g..o colony
n..g..m college
n..g..o..s colony
n..i..f..m.. faridabad
n..m..d..c panna
n..n.. patti
n..p.. kunta
n..r..p.. agraharam
n..s..c colony
n..s..i..t.. dwarka
n..s..patkar marg
n..t..p..c...sector.10 faridabad
n..w.. college
na deoghoria
naba anantapur
nabadiganta it
nabadwip bazar
nabadwip municipality
nabagram sikipur
nabahi devi
nabarangpur bazar
nabasantiganj bazar
nabha estate
nabi nagar
nabi purwa
nabinagar road
nachan yelcapur
nachinda bazar
nadama tola
nadan mahal
nadanthai north
nadawa bishunpur
nadbai town
nadi hatterga
nadi nidhaura
nadia barei
nadia bishnupur
nadt campus
nadua bazar
naduvathnagar edb..o
nag kalan
nagal bulandawala
nagal charbar
nagal jat
nagal jwalapur
nagal kadmoor
nagal katha
nagal khajuri
nagal nunia
nagala bidhora
nagala meena
nagala pithora
nagan pat
naganur km
nagaon bazar
nagaon padel
nagapattinam bazaar
nagapattinam collectorate
nagar bazar
nagar chand
nagar nigam
nagar pipaliya
nagar utari
nagardas road
nagari niwara
nagaria kalan
nagaria khanu
nagaria patti
nagaria sobarni
nagaria vikram
nagaria yadwan
nagarjuna nagar
nagarlal bazar
nagarwada r..s..
nagawa khas
nagayalanka east
nagda town
nagdah balain
nagean garh
nagercoil bazaar
nagercoil collectorate
nagercoil town
nagercoil west
nagina bazar
naginayanicheruvu thanda
nagla ajmeri
nagla akhu
nagla anni
nagla bajdar
nagla bali
nagla barah
nagla bari
nagla beech
nagla bel
nagla bhimsen
nagla birkhu
nagla bujurg
nagla charandas
nagla danda
nagla devi
nagla dheer
nagla dik
nagla dutt
nagla gajpat
nagla galu
nagla gulal
nagla hareru
nagla jagdeo
nagla jattan
nagla jhujhar
nagla jula
nagla kali
nagla kanchan
nagla katila
nagla khilli
nagla kinger
nagla leeladhar
nagla lothu
nagla mahiuddinpur
nagla megha
nagla nahar
nagla nan
nagla padam
nagla painth
nagla patam
nagla pawal
nagla pohpi
nagla purvi
nagla roran
nagla sabla
nagla salaru
nagla sarua
nagla satwari
nagla semar
nagla sikander
nagla taur
nagla tehriyan
nagla tula
nagli badli
nagli pathwari
naglia aqil
nagliya udaibhan
nagma erazi
nagnur p..k..
nagnur lachakkapet
nagore south
